challenge_id,percentile,level,value,achieved_time,level_index,description,name,puuid
301103,0.025,MASTER,9.0,2026-01-23 16:26:43,7,Votre équipe tue des dragons ancestraux avant la 28e minute de jeu.,Chasse aux dragons,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
510005,0.357,IRON,2.0,2026-03-08 23:19:13,1,Collectionnez des skins mythiques.,Look rétro,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
510003,0.481,IRON,1.0,2026-01-22 18:50:02,1,Collectionnez plusieurs skins d'un seul champion.,Goutte-à-goutte,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
301105,0.262,SILVER,7.0,2026-03-13 21:33:56,3,Récupérez des âmes de dragon sans que l'équipe ennemie ne tue un seul dragon.,Domination draconique,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
510001,0.481,IRON,4.0,2026-01-22 18:50:02,1,Obtenez des skins de champion.,Défilé de mode,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
301107,0.184,DIAMOND,4.0,2026-01-23 16:26:43,6,Tuez deux dragons ancestraux dans une seule partie.,Pouvoir ancestral,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
510000,0.376,IRON,25.0,2026-03-08 23:19:13,1,Progressez dans les défis du groupe Connaisseur.,Connaisseur,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
202303,0.251,IRON,4.0,2026-01-17 17:16:24,1,Gagnez 1partie sans mourir avec différents champions.,Invincible,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
510010,0.384,IRON,2.0,2026-03-16 21:05:27,1,Collectionnez des skins épiques.,Tenue sophistiquée,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
510009,0.278,IRON,1.0,2026-01-22 18:50:02,1,Collectionnez des skins légendaires.,Garde-robe légendaire,uuhMlNBPDT3pLnQaGe2bXJ1CrxIuDxFD7dgcYKmdSnPL8sQ-TcgUDYLLjTLoZ94Lk6o-pu0ZtNRiUQ
